cluster,Area (ha),Latitude_p,Longitude_p,Description
1,2.4,28,-15.4,Sample Data
2,0.5,28.5,-16.2,Sample Data
3,2.5,28.7,-18,Sample Data
4,2.2,28,-16.7,Sample Data
5,12.6,35.8,14.6,Sample Data
6,0.1,35.5,24.1,Sample Data
7,1.6,37.1,13.9,Sample Data
8,1.9,36.7,15.1,Sample Data
9,4.1,35.3,26.3,Sample Data
10,14.8,36,14.4,Sample Data
11,4,34.6,33,Sample Data
12,2.6,36.7,-4.4,Sample Data
13,15.8,34.7,33.3,Sample Data
14,0.7,36.8,-2,Sample Data
15,1.4,36.7,-2.9,Sample Data
16,6.9,36.8,-2.5,Sample Data
17,0.3,36.5,-4.9,Sample Data
18,0.8,36.6,-4.6,Sample Data
19,3.4,36.7,-3.6,Sample Data
20,1.7,37,-1.9,Sample Data
21,4.1,35,33.9,Sample Data
22,5.3,37.4,-1.5,Sample Data
23,1.4,38.1,12.9,Sample Data
24,1.2,38.1,13,Sample Data
25,44.5,37.6,-0.9,Sample Data
26,10.5,37.5,-1.4,Sample Data
27,4.1,37.5,-1.2,Sample Data
28,1.8,37.3,23.3,Sample Data
29,4.3,36.3,27.8,Sample Data
30,4,37.2,-1.8,Sample Data
31,4.7,37.1,23,Sample Data
32,6.8,36.6,26.4,Sample Data
33,0.9,36.8,21.7,Sample Data
34,4,36.2,-5.4,Sample Data
35,4.5,36.2,-5.9,Sample Data
36,1,35.3,34,Sample Data
37,6.7,36.7,28.1,Sample Data
38,8.3,38.1,-0.6,Sample Data
39,1,36.9,28,Sample Data
40,59.1,37.8,-0.7,Sample Data
41,17.9,37,27,Sample Data
42,2.3,36.9,27.2,Sample Data
43,9.8,37.6,23.4,Sample Data
44,0.7,37,27,Sample Data
45,0.2,36.2,29.6,Sample Data
46,4.9,37.1,24.5,Sample Data
47,5.2,37.3,22.8,Sample Data
48,22.4,37.5,23,Sample Data
49,0.7,38.2,15,Sample Data
50,1.1,36.6,27.8,Sample Data
51,4.6,38.2,15.3,Sample Data
52,3.2,38.6,0,Sample Data
53,0.3,37.6,26.6,Sample Data
54,3.1,37.9,24.7,Sample Data
55,0.1,38.8,1.4,Sample Data
56,5.5,38.6,20.9,Sample Data
57,0.9,36.4,34.1,Sample Data
58,0.1,36.3,33.9,Sample Data
59,18.8,38.3,24,Sample Data
60,3.2,38.8,20.8,Sample Data
61,0.1,39.1,1.6,Sample Data
62,20,38.6,23.3,Sample Data
63,0.4,39.1,8.4,Sample Data
64,0.6,38.9,16.2,Sample Data
65,1.2,38.3,22.3,Sample Data
66,0.6,38,24.4,Sample Data
67,1.3,38.4,21.6,Sample Data
68,8,38.1,24.3,Sample Data
69,3.8,38.2,22.8,Sample Data
70,2.4,38.4,22.1,Sample Data
71,0.4,39.2,9.1,Sample Data
72,10.7,38.4,22.4,Sample Data
73,6,38.3,22.6,Sample Data
74,13.6,36.2,32.3,Sample Data
75,4.8,38.7,16.1,Sample Data
76,76.7,38.4,21.1,Sample Data
77,8.6,37.9,23.4,Sample Data
78,0.8,38.2,21.7,Sample Data
79,2.5,37.5,27,Sample Data
80,5.7,38.4,20.7,Sample Data
81,0.3,38.3,22.1,Sample Data
82,3.5,38.2,23,Sample Data
83,0.4,37,28.2,Sample Data
84,12.4,37.2,26.8,Sample Data
85,38.6,37.8,23.2,Sample Data
86,163.5,37.2,27.5,Sample Data
88,3.7,37.2,27.4,Sample Data
89,6.2,37.7,24,Sample Data
90,0.2,38.2,20.5,Sample Data
91,8.1,39.5,2.4,Sample Data
92,13.2,39.7,16.5,Sample Data
93,0.8,39.6,-0.2,Sample Data
94,8.1,39.8,19.9,Sample Data
95,21.9,38.9,26.8,Sample Data
96,3.5,39.8,-0.1,Sample Data
97,1.7,39,26.6,Sample Data
98,29.6,38.7,26.8,Sample Data
99,0.5,39.7,20,Sample Data
100,0.5,39.1,23.2,Sample Data
101,2.7,39.1,23,Sample Data
102,3.5,39.5,20.2,Sample Data
103,21.5,40,15.4,Sample Data
104,77.1,38.9,22.9,Sample Data
106,12.4,38.5,26.4,Sample Data
107,2.5,38.5,26.3,Sample Data
108,1.7,38.5,26.1,Sample Data
109,0.8,40.2,0.3,Sample Data
110,0.6,40.5,17.2,Sample Data
111,4.6,40.7,14,Sample Data
112,0.1,40.2,23.8,Sample Data
113,18,40.9,0.8,Sample Data
114,0.3,41.1,17.1,Sample Data
115,0.4,41.2,13.6,Sample Data
116,0,40.8,14.3,Sample Data
117,0.6,40.8,14.1,Sample Data
118,4.5,40.6,18,Sample Data
119,3.6,40.9,9.6,Sample Data
120,0.3,40,24,Sample Data
121,0.3,41,9.6,Sample Data
122,0.2,41.6,8.8,Sample Data
123,5.8,41.7,9.4,Sample Data
124,0.2,40.2,26.4,Sample Data
125,0.3,41.6,2.5,Sample Data
126,1.9,42.3,3.2,Sample Data
127,0.8,42.6,8.8,Sample Data
128,3.8,42.7,17.6,Sample Data
129,4.7,43.1,9.8,Sample Data
130,0.1,41.9,8.6,Sample Data
131,0.9,41.7,16.1,Sample Data
132,4.3,41.9,8.8,Sample Data
133,0.8,41.7,2.8,Sample Data
134,1.1,41.6,15.9,Sample Data
135,1.7,40.4,26.4,Sample Data
136,0.2,41.4,9.2,Sample Data
137,0.4,41.3,16.5,Sample Data
138,0.5,41.5,9.1,Sample Data
139,4.7,40.6,23.9,Sample Data
140,6.9,43.4,6.8,Sample Data
141,2,43.5,16.1,Sample Data
142,0.1,43.3,16.4,Sample Data
143,0.7,43.5,7,Sample Data
144,0.2,43.4,16.2,Sample Data
145,2,43.5,16,Sample Data
146,1,43.7,7.2,Year Built: 1997 Click for Nitrogen levels
147,1.1,43.1,5.9,Sample Data
148,5.5,42.9,17.5,Sample Data
149,0.6,44.3,9.3,Sample Data
150,0.3,44.9,14,Sample Data
151,29.9,42.8,-9,Sample Data
152,2.1,44.4,15,Sample Data
153,0.2,44,15.1,Sample Data
154,0.9,45.1,13.7,Sample Data
155,4,43.7,-7.9,Sample Data
156,1.1,43.8,-7.7,Sample Data
157,4.5,45.8,13.6,Sample Data
158,0.9,51.7,-10.2,Sample Data
159,7.3,51.7,-10,Sample Data
160,3,51.7,-9.6,Sample Data
161,0.1,51.7,-9.8,Sample Data
162,3.3,45.5,13.6,Sample Data
163,2.7,44.9,13.7,Sample Data
164,10.9,43.4,-8.3,Sample Data
165,2.3,53.4,-9.9,Sample Data
166,1.2,53.8,-10,Sample Data
167,17.3,53.5,-10.1,Sample Data
168,2.1,53.6,-10,Sample Data
169,1.3,54.6,-8.4,Sample Data
170,3.3,53.9,-9.6,Sample Data
171,0.3,53.9,-9.8,Sample Data
172,6.3,55.6,-5.5,Sample Data
173,1.1,55.7,-5.6,Sample Data
174,9.9,55.7,-5.7,Sample Data
175,2.3,55.5,-5.1,Sample Data
176,0.5,56.2,-5.5,Sample Data
177,11,56.8,-5.2,Sample Data
178,5.1,56.8,-5.7,Sample Data
179,3.9,56.5,-5.5,Sample Data
180,15.3,55.9,-5.1,Sample Data
181,19.2,55.9,-5.4,Sample Data
182,32.6,55.2,-7.7,Sample Data
183,0.2,53.3,-9.7,Sample Data
184,2,43.9,15.5,Sample Data
185,1.7,44,8.2,Sample Data
186,2.4,44.1,9.8,Sample Data
187,1.6,57.1,-5.6,Sample Data
188,1.2,57,-5.7,Sample Data
189,8.3,57.3,-6.4,Sample Data
190,3.7,57.4,-6.2,Sample Data
191,0.2,57.4,-5.6,Sample Data
192,1.1,57.3,-6.1,Sample Data
193,0.8,57.9,-4.3,Sample Data
194,1,57.9,-5.1,Sample Data
195,3.2,57.9,-5.3,Sample Data
196,0.7,57.9,-5.2,Sample Data
197,1,58,-5.4,Sample Data
198,6.2,58.1,-5.3,Sample Data
199,0.8,57.5,-6.7,Sample Data
200,2.2,57.5,-5.6,Sample Data
201,2.2,57.5,-6.4,Sample Data
202,1.6,58.5,-4.7,Sample Data
203,6.5,59.2,-2.8,Sample Data
204,6.6,59.2,-3,Sample Data
205,0.8,59,-3,Sample Data
206,5.4,58.9,-3.2,Sample Data
207,0.7,59.3,-2.9,Sample Data
208,1.5,58.3,-5.1,Sample Data
209,0.9,56.9,-5.7,Sample Data
210,1.5,40.1,0.2,Sample Data
211,13.5,40.6,8.3,Sample Data
212,4.4,39.3,26.1,Sample Data
213,11,39,20.8,Sample Data
214,17.6,38.9,21,Sample Data
215,2,38.7,23.1,Sample Data
216,13.9,38.2,26.6,Sample Data
217,0.6,38.7,23.4,Sample Data
218,2,38.2,26.4,Sample Data
219,1.7,38.2,26.8,Sample Data
